T	P
243	9.57E-04
263	9.74E-03
273	2.73E-02
283	7.10E-02
293	1.73E-01
303	3.68E-01
313	8.63E-01
323	1.786
333	3.536
343	6.724
353	12.32
363	21.28
373	37.45
383	62.47
393	101.5
403	160.8
413	249.1
423	377.8
433	561.8
443	820.4
453	1178
463	1664
473	2315
483	3177
493	4304
503	5758
513	7614
523	9959
533	12892
543	16527
553	20993
563	26435
573	33015
583	40910
593	50320
603	61460
613	74567
623	89896
633	107720
643	128340
653	152070
663	179250
673	210240
683	254400
693	285200
703	329900
713	380100
723	436200
733	498600
743	567900
753	644600
763	729200
773	822200
783	924200
793	1035800
803	1157600
813	1290100
823	1434000
833	1589900
843	1758400
853	1940300
863	2136000
873	2346000
883	2572000
893	2814000
903	3072000
913	3347000
923	3641000
933	3953000
943	4285000
953	4636000
963	5009000
973	5403000
983	5820000
993	6259000
1003	6722000
1013	7210000
1023	7722000
1033	8260000
1043	8825000
1053	9417000
1063	10037000
1073	10685000
